STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
1,1,Autauga,Alabama,58805,32.500194,-86.487813
1,3,Baldwin,Alabama,231767,30.537396,-87.761478
1,5,Barbour,Alabama,25223,31.843981,-85.301306
1,7,Bibb,Alabama,22293,33.032236,-87.136826
1,9,Blount,Alabama,59134,33.954604,-86.592667
1,11,Bullock,Alabama,10357,32.115838,-85.702354
1,13,Butler,Alabama,19051,31.776019,-86.6524
1,15,Calhoun,Alabama,116441,33.727215,-85.817974
1,17,Chambers,Alabama,34772,32.85644,-85.25964
1,19,Cherokee,Alabama,24971,34.180501,-85.629887
1,21,Chilton,Alabama,45014,32.879146,-86.688861
1,23,Choctaw,Alabama,12665,32.016121,-88.262482
1,25,Clarke,Alabama,23087,31.683493,-87.815868
1,27,Clay,Alabama,14236,33.274342,-85.817245
1,29,Cleburne,Alabama,15056,33.625217,-85.495748
1,31,Coffee,Alabama,53465,31.353217,-85.899556
1,33,Colbert,Alabama,57227,34.724339,-87.681892
1,35,Conecuh,Alabama,11597,31.41643,-86.997537
1,37,Coosa,Alabama,10387,32.976884,-86.156212
1,39,Covington,Alabama,37570,31.284146,-86.409203
1,41,Crenshaw,Alabama,13194,31.747324,-86.296787
1,43,Cullman,Alabama,87866,34.162652,-86.83269
1,45,Dale,Alabama,49326,31.383858,-85.63771
1,47,Dallas,Alabama,38462,32.411818,-87.035342
1,49,DeKalb,Alabama,71608,34.452725,-85.817465
1,51,Elmore,Alabama,87977,32.558527,-86.225332
1,53,Escambia,Alabama,36757,31.085439,-87.280078
1,55,Etowah,Alabama,103436,34.012182,-86.025892
1,57,Fayette,Alabama,16321,33.726912,-87.76749
1,59,Franklin,Alabama,32113,34.463509,-87.793592
1,61,Geneva,Alabama,26659,31.094511,-85.781426
1,63,Greene,Alabama,7730,32.833838,-87.924522
1,65,Hale,Alabama,14785,32.783251,-87.627964
1,67,Henry,Alabama,17146,31.469275,-85.271132
1,69,Houston,Alabama,107202,31.204793,-85.39632
1,71,Jackson,Alabama,52579,34.727289,-85.943552
1,73,Jefferson,Alabama,674721,33.517206,-86.811606
1,75,Lamar,Alabama,13972,33.761275,-88.108771
1,77,Lauderdale,Alabama,93564,34.865524,-87.608858
1,79,Lawrence,Alabama,33073,34.540863,-87.27158
1,81,Lee,Alabama,174241,32.592265,-85.359778
1,83,Limestone,Alabama,103570,34.803982,-86.922366
1,85,Lowndes,Alabama,10311,32.164241,-86.615186
1,87,Macon,Alabama,19532,32.429073,-85.711764
1,89,Madison,Alabama,388153,34.742996,-86.61533
1,91,Marengo,Alabama,19323,32.342372,-87.803475
1,93,Marion,Alabama,29341,34.110448,-87.876476
1,95,Marshall,Alabama,97612,34.311249,-86.291329
1,97,Mobile,Alabama,414809,30.684049,-88.175178
1,99,Monroe,Alabama,19772,31.4988,-87.364576
1,101,Montgomery,Alabama,228954,32.346473,-86.233787
1,103,Morgan,Alabama,123421,34.513887,-86.931981
1,105,Perry,Alabama,8511,32.584881,-87.369738
1,107,Pickens,Alabama,19123,33.284667,-88.074381
1,109,Pike,Alabama,33009,31.786041,-85.946994
1,111,Randolph,Alabama,21967,33.264692,-85.427378
1,113,Russell,Alabama,59183,32.414904,-85.054594
1,115,St. Clair,Alabama,91103,33.660943,-86.374875
1,117,Shelby,Alabama,223024,33.290336,-86.73899
1,119,Sumter,Alabama,12345,32.571003,-88.230925
1,121,Talladega,Alabama,82149,33.376936,-86.165876
1,123,Tallapoosa,Alabama,41311,32.851728,-85.864016
1,125,Tuscaloosa,Alabama,227036,33.214817,-87.518474
1,127,Walker,Alabama,65342,33.834217,-87.250515
1,129,Washington,Alabama,15388,31.413666,-88.195263
1,131,Wilcox,Alabama,10600,32.007448,-87.376912
1,133,Winston,Alabama,23540,34.164369,-87.415624
2,13,Aleutians East,Alaska,3420,54.672887,-163.763729
2,16,Aleutians West,Alaska,5232,54.024627,-168.148047
2,20,Anchorage,Alaska,291247,61.191547,-149.792287
2,50,Bethel,Alaska,18666,60.667568,-162.178288
2,60,Bristol Bay,Alaska,844,58.733456,-156.833611
2,63,Chugach,Alaska,7102,60.881369,-146.199156
2,66,Copper River,Alaska,2617,62.060769,-145.032939
2,68,Denali,Alaska,1619,63.86431,-149.027498
2,70,Dillingham,Alaska,4857,59.128804,-158.75132
2,90,Fairbanks North Star,Alaska,95655,64.831239,-147.623249
2,100,Haines,Alaska,2080,59.234185,-135.497336
2,105,Hoonah-Angoon,Alaska,2365,58.123876,-135.423534
2,110,Juneau,Alaska,32255,58.360173,-134.533023
2,122,Kenai Peninsula,Alaska,58799,60.283998,-151.068103
2,130,Ketchikan Gateway,Alaska,13948,55.369105,-131.678418
2,150,Kodiak Island,Alaska,13101,57.774607,-152.454785
2,158,Kusilvak,Alaska,8368,62.076819,-164.34049
2,164,Lake and Peninsula,Alaska,1476,58.617154,-156.27339
2,170,Matanuska-Susitna,Alaska,107081,61.607247,-149.432649
2,180,Nome,Alaska,10046,64.431631,-165.269108
2,185,North Slope,Alaska,11031,70.480816,-155.295377
2,188,Northwest Arctic,Alaska,7793,66.897051,-161.582978
2,195,Petersburg,Alaska,3398,56.79507,-132.943575
2,198,Prince of Wales-Hyder,Alaska,5753,55.59077,-132.668824
2,220,Sitka,Alaska,8458,57.062777,-135.335988
2,230,Skagway,Alaska,1240,59.465893,-135.310551
2,240,Southeast Fairbanks,Alaska,6808,63.861551,-144.698751
2,275,Wrangell,Alaska,2127,56.426145,-132.355422
2,282,Yakutat,Alaska,662,59.545059,-139.714907
2,290,Yukon-Koyukuk,Alaska,5343,64.966051,-152.827744
4,1,Apache,Arizona,66021,35.543654,-109.419015
4,3,Cochise,Arizona,125447,31.603486,-110.072835
4,5,Coconino,Arizona,145101,35.476113,-111.601825
4,7,Gila,Arizona,53272,33.844439,-111.015003
4,9,Graham,Arizona,38533,32.867145,-109.808107
4,11,Greenlee,Arizona,9563,32.985155,-109.259546
4,12,La Paz,Arizona,16557,33.954185,-114.183775
4,13,Maricopa,Arizona,4420568,33.490147,-112.044016
4,15,Mohave,Arizona,213267,35.034511,-114.262415
4,17,Navajo,Arizona,106717,34.862151,-110.205157
4,19,Pima,Arizona,1043433,32.216427,-110.95803
4,21,Pinal,Arizona,425264,33.069323,-111.602135
4,23,Santa Cruz,Arizona,47669,31.439234,-110.945948
4,25,Yavapai,Arizona,236209,34.628734,-112.273841
4,27,Yuma,Arizona,203881,32.641391,-114.605444
5,1,Arkansas,Arkansas,17149,34.403488,-91.460834
5,3,Ashley,Arkansas,19062,33.17959,-91.877908
5,5,Baxter,Arkansas,41627,36.331791,-92.383935
5,7,Benton,Arkansas,284333,36.335056,-94.230342
5,9,Boone,Arkansas,37373,36.266608,-93.098769
5,11,Bradley,Arkansas,10545,33.574422,-92.101277
5,13,Calhoun,Arkansas,4739,33.585989,-92.500683
5,15,Carroll,Arkansas,28260,36.375744,-93.574712
5,17,Chicot,Arkansas,10208,33.325951,-91.318357
5,19,Clark,Arkansas,21446,34.099325,-93.123962
5,21,Clay,Arkansas,14552,36.370287,-90.366417
5,23,Cleburne,Arkansas,24711,35.507218,-92.037753
5,25,Cleveland,Arkansas,7550,33.912967,-92.136375
5,27,Columbia,Arkansas,22801,33.258766,-93.247178
5,29,Conway,Arkansas,20715,35.21299,-92.705923
5,31,Craighead,Arkansas,111231,35.835762,-90.669235
5,33,Crawford,Arkansas,60133,35.494096,-94.285922
5,35,Crittenden,Arkansas,48163,35.176704,-90.213521
5,37,Cross,Arkansas,16833,35.251667,-90.777424
5,39,Dallas,Arkansas,6482,33.864882,-92.525216
5,41,Desha,Arkansas,11395,33.768029,-91.415165
5,43,Drew,Arkansas,17350,33.627329,-91.784085
5,45,Faulkner,Arkansas,123498,35.105697,-92.406071
5,47,Franklin,Arkansas,17097,35.442155,-93.891039
5,49,Fulton,Arkansas,12075,36.375654,-91.766807
5,51,Garland,Arkansas,100180,34.505767,-93.080729
5,53,Grant,Arkansas,17958,34.311672,-92.412583
5,55,Greene,Arkansas,45736,36.071536,-90.522562
5,57,Hempstead,Arkansas,20065,33.698177,-93.620782
5,59,Hot Spring,Arkansas,33040,34.353569,-92.895511
5,61,Howard,Arkansas,12785,33.981466,-93.908938
5,63,Independence,Arkansas,37938,35.750729,-91.607338
5,65,Izard,Arkansas,13577,36.1215,-91.911716
5,67,Jackson,Arkansas,16755,35.623062,-91.246504
5,69,Jefferson,Arkansas,67260,34.234814,-92.045118
5,71,Johnson,Arkansas,25749,35.476548,-93.473125
5,73,Lafayette,Arkansas,6308,33.278875,-93.557713
5,75,Lawrence,Arkansas,16216,36.070844,-91.064441
5,77,Lee,Arkansas,8600,34.787429,-90.769631
5,79,Lincoln,Arkansas,12941,33.973433,-91.745899
5,81,Little River,Arkansas,12026,33.700349,-94.198663
5,83,Logan,Arkansas,21131,35.227664,-93.768311
5,85,Lonoke,Arkansas,74015,34.916983,-91.973917
5,87,Madison,Arkansas,16521,36.062896,-93.757685
5,89,Marion,Arkansas,16826,36.284395,-92.660219
5,91,Miller,Arkansas,42600,33.402394,-93.987198
5,93,Mississippi,Arkansas,40685,35.843368,-90.001606
5,95,Monroe,Arkansas,6799,34.777063,-91.221516
5,97,Montgomery,Arkansas,8484,34.514568,-93.622447
5,99,Nevada,Arkansas,8310,33.725543,-93.359433
5,101,Newton,Arkansas,7225,35.982591,-93.165658
5,103,Ouachita,Arkansas,22650,33.573847,-92.838686
5,105,Perry,Arkansas,10019,34.998711,-92.777667
5,107,Phillips,Arkansas,16568,34.530919,-90.703802
5,109,Pike,Arkansas,10171,34.186355,-93.626194
5,111,Poinsett,Arkansas,22965,35.604751,-90.558401
5,113,Polk,Arkansas,19221,34.522847,-94.25793
5,115,Pope,Arkansas,63381,35.309054,-93.096833
5,117,Prairie,Arkansas,8282,34.863817,-91.540516
5,119,Pulaski,Arkansas,399125,34.775246,-92.315081
5,121,Randolph,Arkansas,18571,36.302137,-90.989599
5,123,St. Francis,Arkansas,23090,35.016355,-90.774948
5,125,Saline,Arkansas,123416,34.596991,-92.546119
5,127,Scott,Arkansas,9836,34.904224,-94.097007
5,129,Searcy,Arkansas,7828,35.923072,-92.660663
5,131,Sebastian,Arkansas,127799,35.318718,-94.354788
5,133,Sevier,Arkansas,15839,34.015316,-94.30378
5,135,Sharp,Arkansas,17271,36.178093,-91.51953
5,137,Stone,Arkansas,12359,35.855715,-92.133812
5,139,Union,Arkansas,39054,33.207421,-92.65198
5,141,Van Buren,Arkansas,15796,35.568095,-92.42013
5,143,Washington,Arkansas,245871,36.09592,-94.172336
5,145,White,Arkansas,76822,35.239408,-91.773595
5,147,Woodruff,Arkansas,6269,35.233161,-91.251021
5,149,Yell,Arkansas,20263,35.127752,-93.28293
6,1,Alameda,California,1682353,37.706599,-122.098766
6,3,Alpine,California,1204,38.728485,-119.847822
6,5,Amador,California,40474,38.395906,-120.778038
6,7,Butte,California,211632,39.658926,-121.72651
6,9,Calaveras,California,45292,38.157342,-120.645222
6,11,Colusa,California,21839,39.153446,-122.083801
6,13,Contra Costa,California,1165927,37.93501,-122.024961
6,15,Del Norte,California,27743,41.790833,-124.164236
6,17,El Dorado,California,191185,38.741021,-120.761446
6,19,Fresno,California,1008654,36.743848,-119.765291
6,21,Glenn,California,28917,39.665777,-122.179287
6,23,Humboldt,California,136463,40.757636,-124.088127
6,25,Imperial,California,179702,32.841599,-115.540049
6,27,Inyo,California,19016,37.171422,-118.268567
6,29,Kern,California,909235,35.369809,-118.941786
6,31,Kings,California,152486,36.252657,-119.726922
6,33,Lake,California,68163,38.976233,-122.732922
6,35,Lassen,California,32730,40.393749,-120.584467
6,37,Los Angeles,California,10014009,34.067886,-118.24599
6,39,Madera,California,156255,37.037074,-120.009796
6,41,Marin,California,262321,37.986474,-122.546657
6,43,Mariposa,California,17131,37.532076,-119.971401
6,45,Mendocino,California,91601,39.285646,-123.394154
6,47,Merced,California,281202,37.274812,-120.628944
6,49,Modoc,California,8700,41.521665,-120.631201
6,51,Mono,California,13195,37.773016,-118.970627
6,53,Monterey,California,439035,36.614681,-121.646692
6,55,Napa,California,138019,38.325108,-122.319983
6,57,Nevada,California,102241,39.220021,-120.915206
6,59,Orange,California,3186989,33.732683,-117.858773
6,61,Placer,California,404739,38.839708,-121.198379
6,63,Plumas,California,19790,39.981152,-120.821957
6,65,Riverside,California,2418185,33.799274,-117.076969
6,67,Sacramento,California,1585055,38.568337,-121.381235
6,69,San Benito,California,64209,36.843074,-121.402614
6,71,San Bernardino,California,2181654,34.190969,-117.359766
6,73,San Diego,California,3298634,32.884418,-117.112348
6,75,San Francisco,California,873965,37.760569,-122.436499
6,77,San Joaquin,California,779233,37.924541,-121.302289
6,79,San Luis Obispo,California,282424,35.341822,-120.665804
6,81,San Mateo,California,764442,37.563575,-122.339869
6,83,Santa Barbara,California,448229,34.645128,-120.1029
6,85,Santa Clara,California,1936259,37.315518,-121.91109
6,87,Santa Cruz,California,270861,36.986338,-121.938739
6,89,Shasta,California,182155,40.578348,-122.300147
6,91,Sierra,California,3236,39.607184,-120.421856
6,93,Siskiyou,California,44076,41.572743,-122.493725
6,95,Solano,California,453491,38.236295,-122.067272
6,97,Sonoma,California,488863,38.412281,-122.720368
6,99,Stanislaus,California,552878,37.618447,-120.955882
6,101,Sutter,California,99633,39.137197,-121.643973
6,103,Tehama,California,65829,40.114795,-122.219057
6,105,Trinity,California,16112,40.629982,-123.096608
6,107,Tulare,California,473117,36.254134,-119.23454
6,109,Tuolumne,California,55620,37.972006,-120.325224
6,111,Ventura,California,843843,34.242809,-119.025486
6,113,Yolo,California,216403,38.598163,-121.718874
6,115,Yuba,California,81575,39.131905,-121.510607
8,1,Adams,Colorado,519572,39.876949,-104.920943
8,3,Alamosa,Colorado,16376,37.481888,-105.877629
8,5,Arapahoe,Colorado,655070,39.646582,-104.838574
8,7,Archuleta,Colorado,13359,37.240274,-107.089808
8,9,Baca,Colorado,3506,37.368105,-102.53204
8,11,Bent,Colorado,5650,38.072919,-103.166006
8,13,Boulder,Colorado,330758,40.062992,-105.180215
8,14,Broomfield,Colorado,74112,39.939871,-105.058131
8,15,Chaffee,Colorado,19476,38.676811,-106.085131
8,17,Cheyenne,Colorado,1748,38.817655,-102.470052
8,19,Clear Creek,Colorado,9397,39.713458,-105.532527
8,21,Conejos,Colorado,7461,37.199613,-105.987323
8,23,Costilla,Colorado,3499,37.29223,-105.444296
8,25,Crowley,Colorado,5922,38.193783,-103.856387
8,27,Custer,Colorado,4704,38.133198,-105.382527
8,29,Delta,Colorado,31196,38.798198,-107.913769
8,31,Denver,Colorado,715522,39.72486,-104.950033
8,33,Dolores,Colorado,2326,37.746934,-108.758724
8,35,Douglas,Colorado,357978,39.482023,-104.87357
8,37,Eagle,Colorado,55731,39.600516,-106.733421
8,39,Elbert,Colorado,26062,39.388552,-104.52311
8,41,El Paso,Colorado,730395,38.877314,-104.75212
8,43,Fremont,Colorado,48939,38.426941,-105.214303
8,45,Garfield,Colorado,61685,39.507103,-107.549019
8,47,Gilpin,Colorado,5808,39.856062,-105.483217
8,49,Grand,Colorado,15717,40.051143,-105.978501
8,51,Gunnison,Colorado,16918,38.660002,-106.944384
8,53,Hinsdale,Colorado,788,38.002552,-107.29875
8,55,Huerfano,Colorado,6820,37.612538,-104.887584
8,57,Jackson,Colorado,1379,40.690192,-106.295485
8,59,Jefferson,Colorado,582910,39.72369,-105.130309
8,61,Kiowa,Colorado,1446,38.470085,-102.700966
8,63,Kit Carson,Colorado,7087,39.310418,-102.462031
8,65,Lake,Colorado,7436,39.244814,-106.30747
8,67,La Plata,Colorado,55638,37.266021,-107.803947
8,69,Larimer,Colorado,359066,40.504402,-105.089155
8,71,Las Animas,Colorado,14555,37.192053,-104.501324
8,73,Lincoln,Colorado,5675,39.180049,-103.614219
8,75,Logan,Colorado,21528,40.64034,-103.185977
8,77,Mesa,Colorado,155703,39.092942,-108.546673
8,79,Mineral,Colorado,865,37.779142,-106.942063
8,81,Moffat,Colorado,13292,40.51606,-107.613977
8,83,Montezuma,Colorado,25849,37.371913,-108.554458
8,85,Montrose,Colorado,42679,38.481301,-107.922349
8,87,Morgan,Colorado,29111,40.254229,-103.789071
8,89,Otero,Colorado,18690,38.023236,-103.655776
8,91,Ouray,Colorado,4874,38.146044,-107.751894
8,93,Park,Colorado,17390,39.305737,-105.625362
8,95,Phillips,Colorado,4530,40.599356,-102.385877
8,97,Pitkin,Colorado,17358,39.231757,-106.908716
8,99,Prowers,Colorado,11999,38.083029,-102.548624
8,101,Pueblo,Colorado,168162,38.265773,-104.646976
8,103,Rio Blanco,Colorado,6529,40.05108,-108.268744
8,105,Rio Grande,Colorado,11539,37.61185,-106.242067
8,107,Routt,Colorado,24829,40.455504,-106.89741
8,109,Saguache,Colorado,6368,37.925349,-106.006105
8,111,San Juan,Colorado,705,37.801877,-107.673598
8,113,San Miguel,Colorado,8072,37.971818,-107.958108
8,115,Sedgwick,Colorado,2404,40.962161,-102.325673
8,117,Summit,Colorado,31055,39.572383,-106.055673
8,119,Teller,Colorado,24710,38.944782,-105.139899
8,121,Washington,Colorado,4817,40.098312,-103.157119
8,123,Weld,Colorado,328981,40.322426,-104.807009
8,125,Yuma,Colorado,9988,40.065848,-102.480825
9,1,Fairfield,Connecticut,957419,41.206021,-73.367214
9,3,Hartford,Connecticut,899498,41.761165,-72.717868
9,5,Litchfield,Connecticut,185186,41.726958,-73.190432
9,7,Middlesex,Connecticut,164245,41.479018,-72.571631
9,9,New Haven,Connecticut,864835,41.396593,-72.942327
9,11,New London,Connecticut,268555,41.443271,-72.097543
9,13,Tolland,Connecticut,149788,41.842288,-72.372969
9,15,Windham,Connecticut,116418,41.80508,-71.993508
10,1,Kent,Delaware,181851,39.127081,-75.55913
10,3,New Castle,Delaware,570719,39.678852,-75.63529
10,5,Sussex,Delaware,237378,38.661794,-75.331473
11,1,District of Columbia,District of Columbia,689545,38.910168,-77.013993
12,1,Alachua,Florida,278468,29.664721,-82.391582
12,3,Baker,Florida,28259,30.286374,-82.184536
12,5,Bay,Florida,175216,30.21282,-85.670601
12,7,Bradford,Florida,28303,29.949896,-82.128265
12,9,Brevard,Florida,606612,28.225111,-80.690892
12,11,Broward,Florida,1944375,26.135399,-80.226976
12,13,Calhoun,Florida,13648,30.464333,-85.125841
12,15,Charlotte,Florida,186847,26.953831,-82.117344
12,17,Citrus,Florida,153843,28.865585,-82.455213
12,19,Clay,Florida,218245,30.087758,-81.800487
12,21,Collier,Florida,375752,26.203653,-81.69257
12,23,Columbia,Florida,69698,30.122022,-82.664496
12,27,DeSoto,Florida,33976,27.1868,-81.87051
12,29,Dixie,Florida,16759,29.634593,-83.058664
12,31,Duval,Florida,995567,30.298646,-81.620436
12,33,Escambia,Florida,321905,30.485666,-87.277106
12,35,Flagler,Florida,115378,29.521471,-81.222102
12,37,Franklin,Florida,12451,29.785968,-84.813247
12,39,Gadsden,Florida,43826,30.593632,-84.571737
12,41,Gilchrist,Florida,17864,29.705263,-82.808104
12,43,Glades,Florida,12126,26.897019,-81.189563
12,45,Gulf,Florida,14192,29.955584,-85.259724
12,47,Hamilton,Florida,14004,30.501436,-82.999025
12,49,Hardee,Florida,25327,27.548142,-81.816969
12,51,Hendry,Florida,39619,26.726562,-81.216144
12,53,Hernando,Florida,194515,28.504446,-82.497025
12,55,Highlands,Florida,101235,27.462632,-81.444816
12,57,Hillsborough,Florida,1459762,27.967264,-82.39857
12,59,Holmes,Florida,19653,30.847037,-85.754664
12,61,Indian River,Florida,159788,27.671332,-80.440738
12,63,Jackson,Florida,47319,30.797248,-85.218988
12,65,Jefferson,Florida,14510,30.502892,-83.89133
12,67,Lafayette,Florida,8226,30.063591,-83.176369
12,69,Lake,Florida,383956,28.716853,-81.750668
12,71,Lee,Florida,760822,26.576019,-81.851845
12,73,Leon,Florida,292198,30.466102,-84.269682
12,75,Levy,Florida,42915,29.380119,-82.662921
12,77,Liberty,Florida,7974,30.399108,-84.907135
12,79,Madison,Florida,17968,30.472359,-83.425943
12,81,Manatee,Florida,399710,27.478313,-82.520478
12,83,Marion,Florida,375908,29.135817,-82.126125
12,85,Martin,Florida,158431,27.145869,-80.245706
12,86,Miami-Dade,Florida,2701767,25.769326,-80.30118
12,87,Monroe,Florida,82874,24.747427,-81.244796
12,89,Nassau,Florida,90352,30.608318,-81.63434
12,91,Okaloosa,Florida,211668,30.551645,-86.565567
12,93,Okeechobee,Florida,39644,27.271934,-80.824315
12,95,Orange,Florida,1429908,28.526077,-81.388371
12,97,Osceola,Florida,388656,28.269056,-81.39037
12,99,Palm Beach,Florida,1492191,26.616523,-80.143701
12,101,Pasco,Florida,561891,28.258217,-82.51024
12,103,Pinellas,Florida,959107,27.900189,-82.727015
12,105,Polk,Florida,725046,28.042479,-81.786864
12,107,Putnam,Florida,73321,29.60923,-81.721195
12,109,St. Johns,Florida,273425,29.991793,-81.434924
12,111,St. Lucie,Florida,329226,27.333592,-80.357144
12,113,Santa Rosa,Florida,188000,30.547226,-87.035767
12,115,Sarasota,Florida,434006,27.201139,-82.416033
12,117,Seminole,Florida,470856,28.699171,-81.310073
12,119,Sumter,Florida,129752,28.83348,-82.024754
12,121,Suwannee,Florida,43474,30.213664,-82.985113
12,123,Taylor,Florida,21796,30.056859,-83.590349
12,125,Union,Florida,16147,30.011442,-82.35769
12,127,Volusia,Florida,553543,29.072351,-81.126278
12,129,Wakulla,Florida,33764,30.187394,-84.332906
12,131,Walton,Florida,75305,30.543793,-86.19019
12,133,Washington,Florida,25318,30.649403,-85.62387
13,1,Appling,Georgia,18444,31.770708,-82.338755
13,3,Atkinson,Georgia,8286,31.317495,-82.878111
13,5,Bacon,Georgia,11140,31.547,-82.46609
13,7,Baker,Georgia,2876,31.31096,-84.433608
13,9,Baldwin,Georgia,43799,33.085482,-83.243621
13,11,Banks,Georgia,18035,34.349158,-83.507471
13,13,Barrow,Georgia,83505,33.992491,-83.728597
13,15,Bartow,Georgia,108901,34.208535,-84.829148
13,17,Ben Hill,Georgia,17194,31.727139,-83.24814
13,19,Berrien,Georgia,18160,31.233472,-83.251763
13,21,Bibb,Georgia,157346,32.834626,-83.690072
13,23,Bleckley,Georgia,12583,32.401506,-83.332183
13,25,Brantley,Georgia,18021,31.217234,-81.970017
13,27,Brooks,Georgia,16301,30.841118,-83.54227
13,29,Bryan,Georgia,44738,31.958731,-81.353407
13,31,Bulloch,Georgia,81099,32.415313,-81.762378
13,33,Burke,Georgia,24596,33.103215,-82.002339
13,35,Butts,Georgia,25434,33.294854,-83.972919
13,37,Calhoun,Georgia,5573,31.526143,-84.662951
13,39,Camden,Georgia,54768,30.812543,-81.631375
13,43,Candler,Georgia,10981,32.399154,-82.060428
13,45,Carroll,Georgia,119148,33.623974,-85.043815
13,47,Catoosa,Georgia,67872,34.928524,-85.172189
13,49,Charlton,Georgia,12518,30.786554,-82.024244
13,51,Chatham,Georgia,295291,32.043151,-81.136643
13,53,Chattahoochee,Georgia,9565,32.342797,-84.896374
13,55,Chattooga,Georgia,24965,34.496004,-85.344042
13,57,Cherokee,Georgia,266620,34.170504,-84.494745
13,59,Clarke,Georgia,128671,33.950374,-83.381417
13,61,Clay,Georgia,2848,31.634951,-85.014589
13,63,Clayton,Georgia,297595,33.551579,-84.361187
13,65,Clinch,Georgia,6749,31.021262,-82.744401
13,67,Cobb,Georgia,766149,33.941801,-84.557976
13,69,Coffee,Georgia,43092,31.515718,-82.838428
13,71,Colquitt,Georgia,45898,31.179661,-83.767871
13,73,Columbia,Georgia,156010,33.514668,-82.175338
13,75,Cook,Georgia,17229,31.148353,-83.423804
13,77,Coweta,Georgia,146158,33.377998,-84.73346
13,79,Crawford,Georgia,12130,32.706715,-83.930196
13,81,Crisp,Georgia,20128,31.949314,-83.778048
13,83,Dade,Georgia,16251,34.881193,-85.497925
13,85,Dawson,Georgia,26798,34.400246,-84.102212
13,87,Decatur,Georgia,29367,30.889772,-84.569999
13,89,DeKalb,Georgia,764382,33.790223,-84.247613
13,91,Dodge,Georgia,19925,32.212397,-83.173704
13,93,Dooly,Georgia,11208,32.170176,-83.78074
13,95,Dougherty,Georgia,85790,31.574147,-84.171202
13,97,Douglas,Georgia,144237,33.724594,-84.735518
13,99,Early,Georgia,10854,31.335623,-84.919905
13,101,Echols,Georgia,3697,30.712259,-83.050326
13,103,Effingham,Georgia,64769,32.287329,-81.299809
13,105,Elbert,Georgia,19637,34.128394,-82.880506
13,107,Emanuel,Georgia,22768,32.586625,-82.306411
13,109,Evans,Georgia,10774,32.168708,-81.906627
13,111,Fannin,Georgia,25319,34.902937,-84.312915
13,113,Fayette,Georgia,119194,33.428121,-84.513188
13,115,Floyd,Georgia,98584,34.256222,-85.183346
13,117,Forsyth,Georgia,251283,34.190488,-84.150182
13,119,Franklin,Georgia,23424,34.378121,-83.186359
13,121,Fulton,Georgia,1066710,33.832534,-84.396191
13,123,Gilmer,Georgia,31353,34.675112,-84.486082
13,125,Glascock,Georgia,2884,33.236629,-82.60966
13,127,Glynn,Georgia,84499,31.202596,-81.486211
13,129,Gordon,Georgia,57544,34.498248,-84.907765
13,131,Grady,Georgia,26236,30.881836,-84.212447
13,133,Greene,Georgia,18915,33.535248,-83.179388
13,135,Gwinnett,Georgia,957062,33.954137,-84.053177
13,137,Habersham,Georgia,46031,34.565656,-83.541387
13,139,Hall,Georgia,203136,34.26936,-83.847644
13,141,Hancock,Georgia,8735,33.254841,-83.01325
13,143,Haralson,Georgia,29919,33.760719,-85.184723
13,145,Harris,Georgia,34668,32.69754,-84.894283
13,147,Hart,Georgia,25828,34.355547,-82.964995
13,149,Heard,Georgia,11412,33.307964,-85.116748
13,151,Henry,Georgia,240712,33.470292,-84.174632
13,153,Houston,Georgia,163633,32.565757,-83.663692
13,155,Irwin,Georgia,9666,31.604345,-83.27986
13,157,Jackson,Georgia,75907,34.129495,-83.599045
13,159,Jasper,Georgia,14588,33.358288,-83.726512
13,161,Jeff Davis,Georgia,14779,31.847814,-82.600257
13,163,Jefferson,Georgia,15709,33.06898,-82.408116
13,165,Jenkins,Georgia,8674,32.789871,-81.947165
13,167,Johnson,Georgia,9189,32.699439,-82.684511
13,169,Jones,Georgia,28347,32.961196,-83.550237
13,171,Lamar,Georgia,18500,33.084155,-84.154394
13,173,Lanier,Georgia,9877,31.037307,-83.097639
13,175,Laurens,Georgia,49570,32.517494,-82.925405
13,177,Lee,Georgia,33163,31.680634,-84.177116
13,179,Liberty,Georgia,65256,31.828772,-81.5777
13,181,Lincoln,Georgia,7690,33.780601,-82.445454
13,183,Long,Georgia,16168,31.775868,-81.731661
13,185,Lowndes,Georgia,118251,30.860299,-83.281437
13,187,Lumpkin,Georgia,33488,34.524477,-83.988151
13,189,McDuffie,Georgia,21632,33.459579,-82.468712
13,191,McIntosh,Georgia,10975,31.480147,-81.405656
13,193,Macon,Georgia,12082,32.324124,-84.039478
13,195,Madison,Georgia,30120,34.101336,-83.240303
13,197,Marion,Georgia,7498,32.382601,-84.524649
13,199,Meriwether,Georgia,20613,33.016626,-84.675396
13,201,Miller,Georgia,6000,31.160435,-84.738302
13,205,Mitchell,Georgia,21755,31.218188,-84.171176
13,207,Monroe,Georgia,27957,33.037037,-83.909101
13,209,Montgomery,Georgia,8610,32.173336,-82.52948
13,211,Morgan,Georgia,20097,33.600047,-83.485701
13,213,Murray,Georgia,39973,34.781729,-84.79164
13,215,Muscogee,Georgia,206922,32.495642,-84.928926
13,217,Newton,Georgia,112483,33.570575,-83.898026
13,219,Oconee,Georgia,41799,33.876988,-83.464103
13,221,Oglethorpe,Georgia,14825,33.918851,-83.147433
13,223,Paulding,Georgia,168661,33.913898,-84.814237
13,225,Peach,Georgia,27981,32.589118,-83.822766
